dateIDd,avgTemp,maxTemp,minTemp,avgDewPoint,avgHumRel,maxHumRel,minHumRel,sumPrecipitationHgt,timePrecipitation,precipitationToday,avgWindDir,avgWindSpd,maxWindSpd,avgVis,avgPkpa,avgHmdx,avgWindChill,maxWindChill,minWindChill,Rain,Snow,Thunderstorm,Drizzle,Fog,percentCloudy,percentSunny,dateIDm,Year,Month,Day,Weekday,Holiday,Duration,Volume
20170415,11.413888888888884,18.766666666666666,3.8666666666666667,1.9430555555555555,57.18055555555554,96.0,27.66666666666667,0.6,0.08333333333333333,1.0,18.750000000000004,10.402777777777779,22.33333333333333,24.74583333333333,101.33722222222221,,,,,1,0,0,0.04166666666666666,0.25,0.25,0.16666666666666666,201704,2017,4,15,0,0,1038.814789687924,10318
20170416,12.64583333333333,15.4,9.0,11.556944444444447,93.15277777777777,96.0,87.33333333333331,22.1,0.375,1.0,16.486111111111118,10.972222222222221,22.33333333333333,12.527083333333332,100.02694444444445,,,,,3,0,0,0.125,1.0,0.25,0.0,201704,2017,4,16,0,0,766.5969144460028,3565
20170417,6.80138888888889,8.4,3.8,1.3680555555555556,69.77777777777779,98.0,52.66666666666666,1.2,0.25,1.0,26.847222222222214,15.277777777777775,20.33333333333333,22.6875,100.9763888888889,,,,,1,0,0,0.16666666666666666,0.4166666666666667,0.3333333333333333,0.0,201704,2017,4,17,1,1,748.0117679255611,7308
20170418,5.430555555555557,8.966666666666667,1.1333333333333335,-2.9430555555555564,55.98611111111111,75.33333333333333,41.0,0.0,0.0,0.0,12.91666666666667,9.736111111111109,12.0,26.62083333333333,102.45513888888887,,,,,0,0,0,0.0,0.0,0.125,0.4583333333333333,201704,2017,4,18,1,0,765.009148132606,11915
20170419,7.211111111111109,9.566666666666666,5.033333333333333,3.336111111111112,77.6527777777778,98.0,59.33333333333334,19.1,0.4583333333333333,1.0,16.624999999999996,19.76388888888889,29.66666666666667,15.737499999999995,101.6302777777778,,,,,2,0,0,0.04166666666666666,0.5833333333333334,0.25,0.0,201704,2017,4,19,1,0,671.6441245396719,5974
20170420,7.604166666666665,9.333333333333334,5.466666666666666,3.475,75.44444444444444,97.66666666666669,64.0,0.0,0.0,0.0,11.569444444444445,14.666666666666664,20.0,18.743750000000013,101.59222222222222,,,,,0,0,0,0.0,0.16666666666666666,0.625,0.0,201704,2017,4,20,1,0,721.2450779510021,11225
20170421,9.013888888888888,11.166666666666664,6.9,6.643055555555557,85.25,95.0,79.33333333333333,6.549999999999999,0.5416666666666666,1.0,14.083333333333336,18.916666666666668,26.66666666666667,18.827083333333334,100.60694444444442,,,,,2,0,0,0.0,0.5833333333333334,0.20833333333333331,0.0,201704,2017,4,21,1,0,660.8386607880958,7258
20170422,8.019444444444442,9.166666666666666,5.866666666666667,4.143055555555555,76.8611111111111,86.33333333333331,62.0,0.35,0.04166666666666666,1.0,26.44444444444445,12.999999999999998,17.0,22.11666666666667,100.8547222222222,,,,,1,0,0,0.0,0.0,0.375,0.04166666666666666,201704,2017,4,22,0,0,738.5495505745819,8789
20170423,10.027777777777779,17.866666666666667,1.6666666666666667,1.8402777777777777,59.95833333333334,87.0,32.333333333333336,0.1,0.04166666666666666,1.0,23.48611111111111,14.361111111111114,26.33333333333333,27.15833333333333,101.1040277777778,,-2.0,-2.0,-2.0,0,0,0,0.0,0.0,0.20833333333333331,0.25,201704,2017,4,23,0,0,973.2419979905268,13934
20170424,4.483333333333333,8.700000000000001,0.4000000000000001,-5.412499999999999,50.11111111111111,67.0,34.666666666666664,0.0,0.0,0.0,5.6805555555555545,14.222222222222221,21.66666666666667,25.64583333333333,101.92041666666668,,-6.0,-6.0,-6.0,0,0,0,0.0,0.0,0.25,0.08333333333333333,201704,2017,4,24,1,0,724.3338936045047,11899
20170425,8.016666666666667,14.333333333333336,1.9,1.0916666666666668,63.819444444444436,94.33333333333331,45.33333333333334,3.7,0.2916666666666667,1.0,6.986111111111112,15.472222222222221,22.0,22.0625,101.69083333333334,,,,,1,0,0,0.0,0.08333333333333333,0.125,0.20833333333333331,201704,2017,4,25,1,0,677.1450154271731,9399
20170426,11.713888888888887,16.066666666666666,8.866666666666667,10.55833333333333,92.75,97.0,83.0,1.6,0.3333333333333333,1.0,5.888888888888888,14.902777777777779,21.0,15.59166666666667,100.66194444444444,,,,,1,0,0,0.16666666666666666,0.5,0.3333333333333333,0.0,201704,2017,4,26,1,0,722.9855435781732,11967
20170427,15.769444444444446,24.266666666666666,10.166666666666666,12.358333333333334,82.08333333333334,99.33333333333331,57.66666666666666,0.0,0.0,0.0,6.013888888888888,14.347222222222221,18.0,16.89375,100.34263888888887,27.380952380952387,,,,0,0,0,0.0,0.75,0.0,0.4166666666666667,201704,2017,4,27,1,0,832.7116551469425,18953
20170428,15.284722222222225,20.266666666666666,10.0,8.123611111111114,65.16666666666667,93.66666666666669,41.0,0.85,0.125,1.0,19.88194444444445,18.430555555555557,33.0,24.304166666666664,100.62375000000002,,,,,1,0,0,0.0,0.08333333333333333,0.125,0.2916666666666667,201704,2017,4,28,1,0,821.5650393533292,18804
20170429,14.045833333333333,19.066666666666666,5.266666666666667,2.8305555555555544,47.70833333333334,59.66666666666666,29.33333333333333,0.0,0.0,0.0,23.722222222222207,21.472222222222225,38.0,25.141666666666666,100.92638888888888,,,,,0,0,0,0.0,0.0,0.20833333333333331,0.2916666666666667,201704,2017,4,29,0,0,893.0407529025449,17054
20170430,4.824999999999998,6.866666666666667,1.8,-1.3736111111111111,65.0138888888889,91.0,50.33333333333334,1.85,0.25,1.0,8.277777777777779,12.416666666666664,20.0,26.15,101.9872222222222,,,,,1,3,0,0.0,0.0,0.2916666666666667,0.08333333333333333,201704,2017,4,30,0,0,651.1269115335142,6997
20170501,7.900000000000002,9.733333333333334,5.5,7.388888888888889,96.45833333333336,97.66666666666669,94.33333333333331,44.0,1.0,1.0,5.111111111111111,14.972222222222225,20.666666666666668,12.252083333333333,100.38194444444444,,,,,2,0,1,0.0,1.0,0.0,0.0,201705,2017,5,1,1,0,585.2321954090643,3398
20170502,11.911111111111113,16.033333333333335,8.166666666666666,7.398611111111113,75.68055555555556,99.33333333333331,53.33333333333334,0.0,0.0,0.0,20.26388888888889,20.055555555555557,28.66666666666667,18.97083333333334,99.3309722222222,,,,,1,0,0,0.0,0.5833333333333334,0.5,0.0,201705,2017,5,2,1,0,744.2365470852018,15164
20170503,9.093055555555551,12.333333333333336,6.666666666666668,1.2569444444444444,60.01388888888889,79.33333333333333,36.333333333333336,0.0,0.0,0.0,25.01388888888889,19.319444444444443,25.66666666666667,23.125,100.45166666666664,,,,,1,0,0,0.0,0.0,0.3333333333333333,0.08333333333333333,201705,2017,5,3,1,0,719.3328962894979,15254
