"Longitude (x)","Latitude (y)","Nom de la Station","ID climatologique","Date/Heure (HNL)","Année","Mois","Jour","Heure (HNL)","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Hauteur de précip. (mm)","Hauteur de précip. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-04-01 00:00","2020","04","01","00:00","0,6","","-4,3","","70","","","","4","","22","","24,1","","101,23","","","","","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-04-01 01:00","2020","04","01","01:00","0,3","","-3,5","","75","","","","4","","22","","24,1","","101,19","","","","","","Dégagé"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-04-01 02:00","2020","04","01","02:00","0,1","","-3,2","","79","","","","3","","23","","24,1","","101,12","","","","","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-04-01 03:00","2020","04","01","03:00","-0,1","","-3,0","","81","","","","3","","25","","24,1","","101,08","","","","-6","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-04-01 04:00","2020","04","01","04:00","-0,8","","-3,2","","84","","","","2","","20","","24,1","","101,07","","","","-6","","Dégagé"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-04-01 05:00","2020","04","01","05:00","-1,3","","-3,2","","87","","","","2","","19","","24,1","","101,08","","","","-7","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-04-01 06:00","2020","04","01","06:00","-1,1","","-2,8","","88","","","","2","","20","","24,1","","101,06","","","","-7","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-04-01 07:00","2020","04","01","07:00","0,4","","-1,9","","85","","","","3","","20","","48,3","","101,09","","","","","","Généralement nuageux"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-04-01 08:00","2020","04","01","08:00","2,3","","-2,1","","73","","","","5","","26","","48,3","","101,08","","","","","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-04-01 09:00","2020","04","01","09:00","3,7","","-1,2","","70","","","","5","","27","","24,1","","101,06","","","","","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-04-01 10:00","2020","04","01","10:00","3,7","","-1,8","","68","","","","4","","22","","24,1","","101,03","","","","","","Généralement nuageux"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-04-01 11:00","2020","04","01","11:00","4,6","","-1,3","","66","","","","3","","22","","24,1","","100,98","","","","","","ND"
