"Longitude (x)","Latitude (y)","Nom de la Station","ID climatologique","Date/Heure (HNL)","Année","Mois","Jour","Heure (HNL)","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Hauteur de précip. (mm)","Hauteur de précip. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-08-01 00:00","2020","08","01","00:00","20,2","","18,3","","89","","","","25","","3","","24,1","","100,78","","26","","","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-08-01 01:00","2020","08","01","01:00","20,3","","18,6","","90","","","","36","","2","","24,1","","100,78","","27","","","","Dégagé"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-08-01 02:00","2020","08","01","02:00","18,9","","17,7","","93","","","","34","","5","","24,1","","100,80","","","","","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-08-01 03:00","2020","08","01","03:00","18,8","","16,9","","88","","","","34","","8","","24,1","","100,81","","","","","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-08-01 04:00","2020","08","01","04:00","18,0","","16,8","","92","","","","36","","3","","24,1","","100,84","","","","","","Dégagé"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-08-01 05:00","2020","08","01","05:00","17,4","","16,3","","93","","","","30","","4","","48,3","","100,89","","","","","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-08-01 06:00","2020","08","01","06:00","19,9","","17,2","","84","","","","33","","7","","48,3","","100,91","","","","","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-08-01 07:00","2020","08","01","07:00","21,3","","17,2","","77","","","","28","","3","","48,3","","100,95","","27","","","","Dégagé"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-08-01 08:00","2020","08","01","08:00","23,1","","17,1","","69","","","","22","","5","","48,3","","100,99","","28","","","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-08-01 09:00","2020","08","01","09:00","24,5","","17,5","","64","","","","20","","5","","48,3","","101,02","","30","","","","ND"
