"Longitude (x)","Latitude (y)","Nom de la Station","ID climatologique","Date/Heure (HNL)","Année","Mois","Jour","Heure (HNL)","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Hauteur de précip. (mm)","Hauteur de précip. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-12-01 00:00","2020","12","01","00:00","5,5","","5,0","","96","","","","2","","17","","24,1","","99,10","","","","","","Pluie"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-12-01 01:00","2020","12","01","01:00","5,6","","5,1","","96","","","","2","","17","","19,3","","99,02","","","","","","Pluie"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-12-01 02:00","2020","12","01","02:00","6,0","","5,6","","97","","","","2","","15","","8,1","","99,09","","","","","","Pluie,Brouillard"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-12-01 03:00","2020","12","01","03:00","6,3","","5,9","","97","","","","2","","17","","16,1","","99,11","","","","","","Pluie"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-12-01 04:00","2020","12","01","04:00","6,5","","6,1","","97","","","","36","","6","","3,2","","99,15","","","","","","Pluie,Brouillard"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-12-01 05:00","2020","12","01","05:00","6,5","","6,2","","98","","","","26","","7","","4,8","","99,20","","","","","","Pluie,Brouillard"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-12-01 06:00","2020","12","01","06:00","6,5","","6,2","","98","","","","26","","8","","4,8","","99,22","","","","","","Pluie,Brouillard"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-12-01 07:00","2020","12","01","07:00","6,5","","6,2","","98","","","","21","","10","","6,4","","99,32","","","","","","Pluie,Brouillard"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-12-01 08:00","2020","12","01","08:00","6,3","","6,1","","98","","","","2","","11","","24,1","","99,26","","","","","","Pluie"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-12-01 09:00","2020","12","01","09:00","8,1","","7,7","","97","","","","3","","12","","24,1","","99,24","","","","","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-12-01 10:00","2020","12","01","10:00","8,1","","7,7","","97","","","","3","","20","","24,1","","99,24","","","","","","Nuageux"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-12-01 11:00","2020","12","01","11:00","8,7","","8,2","","97","","","","5","","20","","6,4","","99,16","","","","","","Brouillard"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-12-01 12:00","2020","12","01","12:00","10,0","","8,6","","91","","","","4","","19","","16,1","","99,07","","","","","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-12-01 13:00","2020","12","01","13:00","8,2","","7,8","","98","","","","26","","20","","0,8","","99,16","","","","","","Pluie,Brouillard"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-12-01 14:00","2020","12","01","14:00","8,8","","7,9","","94","","","","36","","3","","19,3","","99,11","","","","","","Pluie"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-12-01 15:00","2020","12","01","15:00","9,2","","7,8","","91","","","","36","","3","","24,1","","99,06","","","","","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-12-01 16:00","2020","12","01","16:00","8,7","","7,2","","91","","","","7","","8","","24,1","","99,07","","","","","","Pluie"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-12-01 17:00","2020","12","01","17:00","7,8","","5,5","","85","","","","24","","26","","24,1","","99,16","","","","","","Pluie"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-12-01 18:00","2020","12","01","18:00","6,7","","5,2","","90","","","","16","","11","","48,3","","99,21","","","","","","Pluie"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-12-01 19:00","2020","12","01","19:00","6,1","","5,0","","93","","","","26","","17","","24,1","","99,15","","","","","","Généralement nuageux"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-12-01 20:00","2020","12","01","20:00","6,3","","4,8","","90","","","","23","","21","","24,1","","99,34","","","","","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-12-01 21:00","2020","12","01","21:00","5,5","","3,6","","88","","","","22","","25","","24,1","","99,44","","","","","","ND"
