"Longitude (x)","Latitude (y)","Nom de la Station","ID climatologique","Date/Heure (HNL)","Année","Mois","Jour","Heure (HNL)","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Hauteur de précip. (mm)","Hauteur de précip. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-05-01 00:00","2020","05","01","00:00","11,1","","6,7","","74","","","","13","","22","","24,1","","100,38","","","","","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-05-01 01:00","2020","05","01","01:00","10,4","","6,2","","75","","","","11","","23","","24,1","","100,26","","","","","","Nuageux"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-05-01 02:00","2020","05","01","02:00","10,2","","7,0","","80","","","","11","","17","","24,1","","100,19","","","","","","Pluie"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-05-01 03:00","2020","05","01","03:00","10,4","","7,9","","84","","","","13","","23","","19,3","","100,11","","","","","","Pluie"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-05-01 04:00","2020","05","01","04:00","10,7","","8,5","","86","","","","13","","23","","24,1","","100,08","","","","","","Nuageux"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-05-01 05:00","2020","05","01","05:00","11,1","","8,8","","85","","","","13","","19","","48,3","","100,05","","","","","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-05-01 06:00","2020","05","01","06:00","11,7","","8,9","","83","","","","15","","22","","48,3","","100,04","","","","","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-05-01 07:00","2020","05","01","07:00","12,6","","9,6","","82","","","","18","","17","","24,1","","100,13","","","","","","Bruine"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-05-01 08:00","2020","05","01","08:00","12,5","","11,2","","91","","","","19","","19","","24,1","","100,19","","","","","","Bruine"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-05-01 09:00","2020","05","01","09:00","13,6","","12,2","","91","","","","22","","19","","24,1","","100,19","","","","","","Bruine"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-05-01 10:00","2020","05","01","10:00","13,6","","12,2","","91","","","","26","","22","","8,1","","100,19","","","","","","Pluie"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-05-01 11:00","2020","05","01","11:00","14,9","","11,7","","81","","","","26","","21","","24,1","","100,17","","","","","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-05-01 12:00","2020","05","01","12:00","15,8","","13,5","","86","","","","20","","16","","24,1","","100,11","","","","","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-05-01 13:00","2020","05","01","13:00","17,6","","9,9","","60","","","","27","","24","","48,3","","100,12","","","","","","Généralement nuageux"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-05-01 14:00","2020","05","01","14:00","17,1","","10,0","","63","","","","28","","24","","24,1","","100,11","","","","","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-05-01 15:00","2020","05","01","15:00","16,2","","9,7","","65","","","","29","","34","","24,1","","100,10","","","","","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-05-01 16:00","2020","05","01","16:00","15,2","","7,6","","60","","","","31","","27","","48,3","","100,13","","","","","","Généralement dégagé"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-05-01 17:00","2020","05","01","17:00","13,8","","5,6","","57","","","","31","","29","","48,3","","100,20","","","","","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-05-01 18:00","2020","05","01","18:00","12,0","","3,5","","56","","","","34","","24","","48,3","","100,36","","","","","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-05-01 19:00","2020","05","01","19:00","10,3","","1,7","","55","","","","34","","26","","48,3","","100,53","","","","","","Dégagé"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-05-01 20:00","2020","05","01","20:00","9,3","","0,8","","55","","","","34","","14","","24,1","","100,67","","","","","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-05-01 21:00","2020","05","01","21:00","8,2","","0,9","","60","","","","31","","7","","24,1","","100,74","","","","","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-05-01 22:00","2020","05","01","22:00","6,6","","0,8","","66","","","","28","","9","","24,1","","100,79","","","","","","Dégagé"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-05-01 23:00","2020","05","01","23:00","6,3","","0,7","","67","","","","28","","11","","24,1","","100,86","","","","","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-05-02 00:00","2020","05","02","00:00","6,0","","0,3","","67","","","","27","","12","","24,1","","100,87","","","","","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-05-02 01:00","2020","05","02","01:00","5,9","","0,4","","68","","","","28","","11","","24,1","","100,84","","","","","","Dégagé"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-05-02 02:00","2020","05","02","02:00","5,3","","1,2","","74","","","","27","","11","","24,1","","100,84","","","","","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-05-02 03:00","2020","05","02","03:00","5,1","","0,9","","74","","","","29","","9","","24,1","","100,87","","","","","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-05-02 04:00","2020","05","02","04:00","4,7","","0,9","","76","","","","32","","7","","24,1","","100,87","","","","","","Dégagé"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-05-02 05:00","2020","05","02","05:00","3,7","","1,0","","83","","","","36","","2","","48,3","","100,93","","","","","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-05-02 06:00","2020","05","02","06:00","6,6","","2,3","","74","","","","29","","8","","48,3","","100,99","","","","","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-05-02 07:00","2020","05","02","07:00","9,5","","2,8","","63","","","","28","","14","","48,3","","101,02","","","","","","Nuageux"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-05-02 08:00","2020","05","02","08:00","11,7","","1,7","","50","","","","29","","20","","48,3","","101,02","","","","","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-05-02 09:00","2020","05","02","09:00","12,8","","0,7","","43","","","","26","","10","","48,3","","101,00","","","","","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-05-02 10:00","2020","05","02","10:00","13,7","","0,6","","40","","","","29","","3","","48,3","","100,95","","","","","","Dégagé"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-05-02 11:00","2020","05","02","11:00","14,7","","-0,1","","36","","","","24","","18","","48,3","","100,91","","","","","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-05-02 12:00","2020","05","02","12:00","16,2","","1,0","","35","","","","19","","16","","48,3","","100,82","","","","","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-05-02 13:00","2020","05","02","13:00","16,7","","2,3","","38","","","","20","","15","","48,3","","100,74","","","","","","Généralement nuageux"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-05-02 14:00","2020","05","02","14:00","17,7","","2,6","","36","","","","18","","20","","48,3","","100,66","","","","","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-05-02 15:00","2020","05","02","15:00","17,5","","2,9","","37","","","","22","","17","","48,3","","100,58","","","","","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-05-02 16:00","2020","05","02","16:00","18,9","","2,1","","32","","","","28","","21","","48,3","","100,52","","","","","","Nuageux"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-05-02 17:00","2020","05","02","17:00","18,5","","2,7","","35","","","","26","","15","","48,3","","100,49","","","","","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-05-02 18:00","2020","05","02","18:00","17,2","","4,8","","44","","","","23","","20","","48,3","","100,48","","","","","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-05-02 19:00","2020","05","02","19:00","16,2","","5,0","","47","","","","22","","16","","24,1","","100,45","","","","","","Nuageux"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-05-02 20:00","2020","05","02","20:00","16,2","","4,0","","44","","","","23","","21","","24,1","","100,47","","","","","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-05-02 21:00","2020","05","02","21:00","15,2","","3,2","","44","","","","24","","31","","24,1","","100,51","","","","","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-05-02 22:00","2020","05","02","22:00","14,6","","4,4","","50","","","","26","","39","","24,1","","100,50","","","","","","Pluie"
