"Longitude (x)","Latitude (y)","Nom de la Station","ID climatologique","Date/Heure (HNL)","Année","Mois","Jour","Heure (HNL)","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Hauteur de précip. (mm)","Hauteur de précip. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-01-01 00:00","2020","01","01","00:00","0,0","","-2,0","","87","","","","24","","17","","19,3","","99,29","","","","-5","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-01-01 01:00","2020","01","01","01:00","0,0","","-2,1","","86","","","","23","","19","","24,1","","99,27","","","","-5","","Nuageux"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-01-01 02:00","2020","01","01","02:00","0,0","","-1,8","","88","","","","23","","17","","6,4","","99,29","","","","-5","","Neige"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-01-01 03:00","2020","01","01","03:00","-0,3","","-1,4","","92","","","","23","","18","","8,1","","99,28","","","","-5","","Neige"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-01-01 04:00","2020","01","01","04:00","-0,4","","-1,7","","91","","","","23","","20","","6,4","","99,26","","","","-6","","Neige"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-01-01 05:00","2020","01","01","05:00","-0,4","","-2,2","","88","","","","23","","24","","8,1","","99,24","","","","-6","","Neige"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-01-01 06:00","2020","01","01","06:00","-0,8","","-2,0","","91","","","","25","","25","","2,4","","99,26","","","","-7","","Neige"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-01-01 07:00","2020","01","01","07:00","-0,8","","-2,3","","90","","","","26","","24","","4,8","","99,30","","","","-7","","Neige"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-01-01 08:00","2020","01","01","08:00","-0,6","","-2,4","","88","","","","26","","20","","24,1","","99,36","","","","-6","","Neige"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-01-01 09:00","2020","01","01","09:00","-0,2","","-2,3","","86","","","","25","","19","","24,1","","99,44","","","","-5","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-01-01 10:00","2020","01","01","10:00","0,2","","-2,4","","83","","","","26","","27","","24,1","","99,51","","","","","","Nuageux"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-01-01 11:00","2020","01","01","11:00","0,5","","-2,0","","83","","","","27","","19","","24,1","","99,53","","","","","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-01-01 12:00","2020","01","01","12:00","0,8","","-1,9","","82","","","","25","","28","","24,1","","99,52","","","","","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2020-01-01 13:00","2020","01","01","13:00","1,0","","-2,3","","78","","","","26","","24","","24,1","","99,53","","","","","","Généralement nuageux"
