"Longitude (x)","Latitude (y)","Nom de la Station","ID climatologique","Date/Heure (HNL)","Année","Mois","Jour","Heure (HNL)","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Hauteur de précip. (mm)","Hauteur de précip. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"-73,74","45,47","MONTREAL INTL A","7025251","2019-12-01 00:00","2019","12","01","00:00","-9,3","","-13,9","","69","","","","1","","14","","24,1","","101,61","","","","-16","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2019-12-01 01:00","2019","12","01","01:00","-10,4","","-14,4","","73","","","","1","","5","","24,1","","101,63","","","","-13","","Dégagé"
"-73,74","45,47","MONTREAL INTL A","7025251","2019-12-01 02:00","2019","12","01","02:00","-10,7","","-14,6","","73","","","","3","","11","","24,1","","101,56","","","","-16","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2019-12-01 03:00","2019","12","01","03:00","-10,6","","-14,6","","72","","","","3","","9","","24,1","","101,49","","","","-16","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2019-12-01 04:00","2019","12","01","04:00","-11,3","","-14,6","","77","","","","35","","4","","24,1","","101,59","","","","-14","","Dégagé"
"-73,74","45,47","MONTREAL INTL A","7025251","2019-12-01 05:00","2019","12","01","05:00","-12,3","","-15,3","","78","","","","3","","10","","24,1","","101,54","","","","-18","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2019-12-01 06:00","2019","12","01","06:00","-12,1","","-14,8","","80","","","","3","","14","","24,1","","101,49","","","","-19","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2019-12-01 07:00","2019","12","01","07:00","-11,9","","-14,9","","78","","","","4","","13","","24,1","","101,45","","","","-19","","Généralement nuageux"
"-73,74","45,47","MONTREAL INTL A","7025251","2019-12-01 08:00","2019","12","01","08:00","-10,2","","-13,3","","78","","","","6","","16","","48,3","","101,39","","","","-17","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2019-12-01 09:00","2019","12","01","09:00","-9,8","","-13,8","","73","","","","7","","12","","24,1","","101,50","","","","-16","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2019-12-01 10:00","2019","12","01","10:00","-9,1","","-13,9","","69","","","","7","","22","","24,1","","101,42","","","","-17","","Généralement nuageux"
"-73,74","45,47","MONTREAL INTL A","7025251","2019-12-01 11:00","2019","12","01","11:00","-8,7","","-13,4","","69","","","","6","","15","","24,1","","101,36","","","","-15","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2019-12-01 12:00","2019","12","01","12:00","-8,2","","-13,5","","66","","","","4","","25","","24,1","","101,15","","","","-16","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2019-12-01 13:00","2019","12","01","13:00","-7,9","","-12,8","","68","","","","4","","25","","24,1","","101,00","","","","-16","","Nuageux"
"-73,74","45,47","MONTREAL INTL A","7025251","2019-12-01 14:00","2019","12","01","14:00","-7,8","","-13,2","","66","","","","6","","26","","24,1","","100,99","","","","-16","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2019-12-01 15:00","2019","12","01","15:00","-7,8","","-12,5","","69","","","","5","","20","","24,1","","100,97","","","","-15","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2019-12-01 16:00","2019","12","01","16:00","-8,2","","-12,8","","70","","","","4","","29","","24,1","","100,96","","","","-17","","Nuageux"
"-73,74","45,47","MONTREAL INTL A","7025251","2019-12-01 17:00","2019","12","01","17:00","-7,9","","-12,2","","71","","","","5","","25","","24,1","","100,99","","","","-16","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2019-12-01 18:00","2019","12","01","18:00","-7,4","","-11,9","","71","","","","4","","26","","24,1","","101,00","","","","-16","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2019-12-01 19:00","2019","12","01","19:00","-7,1","","-11,6","","71","","","","4","","26","","24,1","","100,92","","","","-15","","Généralement nuageux"
"-73,74","45,47","MONTREAL INTL A","7025251","2019-12-01 20:00","2019","12","01","20:00","-6,9","","-11,1","","72","","","","4","","22","","24,1","","100,83","","","","-14","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2019-12-01 21:00","2019","12","01","21:00","-6,5","","-10,8","","72","","","","4","","20","","24,1","","100,85","","","","-13","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2019-12-01 22:00","2019","12","01","22:00","-6,6","","-10,8","","72","","","","3","","30","","24,1","","100,74","","","","-15","","Généralement nuageux"
"-73,74","45,47","MONTREAL INTL A","7025251","2019-12-01 23:00","2019","12","01","23:00","-5,9","","-10,9","","68","","","","4","","28","","24,1","","100,75","","","","-14","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2019-12-02 00:00","2019","12","02","00:00","-5,8","","-10,9","","67","","","","4","","30","","24,1","","100,69","","","","-14","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2019-12-02 01:00","2019","12","02","01:00","-6,3","","-10,2","","74","","","","3","","28","","24,1","","100,62","","","","-14","","Généralement nuageux"
"-73,74","45,47","MONTREAL INTL A","7025251","2019-12-02 02:00","2019","12","02","02:00","-6,4","","-9,9","","77","","","","3","","29","","24,1","","100,64","","","","-15","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2019-12-02 03:00","2019","12","02","03:00","-6,3","","-9,5","","78","","","","3","","25","","24,1","","100,64","","","","-14","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2019-12-02 04:00","2019","12","02","04:00","-6,2","","-9,6","","77","","","","2","","23","","24,1","","100,63","","","","-14","","Généralement nuageux"
"-73,74","45,47","MONTREAL INTL A","7025251","2019-12-02 05:00","2019","12","02","05:00","-6,6","","-9,3","","81","","","","3","","22","","24,1","","100,65","","","","-14","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2019-12-02 06:00","2019","12","02","06:00","-6,9","","-9,8","","80","","","","2","","28","","24,1","","100,67","","","","-15","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2019-12-02 07:00","2019","12","02","07:00","-7,1","","-9,9","","81","","","","3","","26","","24,1","","100,70","","","","-15","","Généralement nuageux"
"-73,74","45,47","MONTREAL INTL A","7025251","2019-12-02 08:00","2019","12","02","08:00","-6,9","","-10,1","","78","","","","2","","27","","24,1","","100,76","","","","-15","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2019-12-02 09:00","2019","12","02","09:00","-7,0","","-10,2","","79","","","","3","","28","","24,1","","100,79","","","","-15","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2019-12-02 10:00","2019","12","02","10:00","-5,8","","-9,9","","73","","","","3","","28","","24,1","","100,80","","","","-14","","Généralement dégagé"
"-73,74","45,47","MONTREAL INTL A","7025251","2019-12-02 11:00","2019","12","02","11:00","-4,1","","-9,5","","66","","","","3","","34","","48,3","","100,73","","","","-12","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2019-12-02 12:00","2019","12","02","12:00","-3,5","","-9,6","","63","","","","3","","35","","48,3","","100,69","","","","-12","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2019-12-02 13:00","2019","12","02","13:00","-2,4","","-9,3","","59","","","","2","","30","","48,3","","100,66","","","","-10","","Généralement dégagé"
"-73,74","45,47","MONTREAL INTL A","7025251","2019-12-02 14:00","2019","12","02","14:00","-3,1","","-9,7","","60","","","","1","","28","","48,3","","100,64","","","","-10","","ND"
