"Longitude (x)","Latitude (y)","Nom de la Station","ID climatologique","Date/Heure (HNL)","Année","Mois","Jour","Heure (HNL)","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Hauteur de précip. (mm)","Hauteur de précip. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"-73,74","45,47","MONTREAL INTL A","7025251","2019-11-01 00:00","2019","11","01","00:00","8,2","","7,4","","94","","","","6","","24","","16,1","","98,56","","","","","","Pluie modérée"
"-73,74","45,47","MONTREAL INTL A","7025251","2019-11-01 01:00","2019","11","01","01:00","8,8","","8,1","","96","","","","24","","16","","24,1","","98,86","","","","","","Nuageux"
"-73,74","45,47","MONTREAL INTL A","7025251","2019-11-01 02:00","2019","11","01","02:00","10,2","","7,8","","85","","","","26","","43","","24,1","","98,88","","","","","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2019-11-01 03:00","2019","11","01","03:00","8,7","","6,7","","88","","","","25","","39","","16,1","","98,89","","","","","","Pluie"
"-73,74","45,47","MONTREAL INTL A","7025251","2019-11-01 04:00","2019","11","01","04:00","8,9","","6,1","","83","","","","23","","25","","24,1","","99,00","","","","","","Nuageux"
"-73,74","45,47","MONTREAL INTL A","7025251","2019-11-01 05:00","2019","11","01","05:00","8,4","","2,7","","67","","","","22","","49","","24,1","","98,95","","","","","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2019-11-01 06:00","2019","11","01","06:00","7,2","","2,1","","70","","","","21","","54","","24,1","","99,04","","","","","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2019-11-01 07:00","2019","11","01","07:00","6,2","","1,6","","73","","","","22","","68","","24,1","","98,99","","","","","","Pluie"
"-73,74","45,47","MONTREAL INTL A","7025251","2019-11-01 08:00","2019","11","01","08:00","5,5","","0,1","","68","","","","24","","68","","24,1","","99,22","","","","","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2019-11-01 09:00","2019","11","01","09:00","3,3","","1,5","","88","","","","24","","54","","24,1","","99,56","","","","","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2019-11-01 10:00","2019","11","01","10:00","3,8","","-2,9","","62","","","","25","","68","","48,3","","99,82","","","","","","Généralement nuageux"
"-73,74","45,47","MONTREAL INTL A","7025251","2019-11-01 11:00","2019","11","01","11:00","4,1","","-3,4","","58","","","","25","","59","","48,3","","100,15","","","","","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2019-11-01 12:00","2019","11","01","12:00","4,6","","-2,4","","60","","","","25","","52","","48,3","","100,31","","","","","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2019-11-01 13:00","2019","11","01","13:00","5,0","","-2,6","","58","","","","25","","53","","48,3","","100,56","","","","","","Nuageux"
"-73,74","45,47","MONTREAL INTL A","7025251","2019-11-01 14:00","2019","11","01","14:00","5,5","","-3,2","","53","","","","27","","54","","48,3","","100,76","","","","","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2019-11-01 15:00","2019","11","01","15:00","5,0","","-3,5","","54","","","","26","","42","","48,3","","101,06","","","","","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2019-11-01 16:00","2019","11","01","16:00","4,3","","-3,6","","57","","","","25","","40","","48,3","","101,25","","","","","","Nuageux"
"-73,74","45,47","MONTREAL INTL A","7025251","2019-11-01 17:00","2019","11","01","17:00","3,9","","-3,5","","59","","","","26","","32","","48,3","","101,47","","","","","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2019-11-01 18:00","2019","11","01","18:00","3,6","","-3,9","","58","","","","25","","36","","24,1","","101,63","","","","","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2019-11-01 19:00","2019","11","01","19:00","3,2","","-3,8","","60","","","","26","","28","","24,1","","101,74","","","","","","Nuageux"
"-73,74","45,47","MONTREAL INTL A","7025251","2019-11-01 20:00","2019","11","01","20:00","2,9","","-4,0","","61","","","","26","","22","","24,1","","101,80","","","","","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2019-11-01 21:00","2019","11","01","21:00","2,6","","-4,5","","59","","","","26","","25","","24,1","","101,85","","","","","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2019-11-01 22:00","2019","11","01","22:00","2,5","","-4,0","","62","","","","27","","20","","24,1","","101,86","","","","","","Généralement nuageux"
"-73,74","45,47","MONTREAL INTL A","7025251","2019-11-01 23:00","2019","11","01","23:00","1,3","","-3,7","","69","","","","24","","12","","24,1","","101,87","","","","","","ND"
