"Longitude (x)","Latitude (y)","Nom de la Station","ID climatologique","Date/Heure (HNL)","Année","Mois","Jour","Heure (HNL)","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Hauteur de précip. (mm)","Hauteur de précip. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-01 00:00","2015","12","01","00:00","-5,8","","-8,4","","82","","","","","","0","","24,1","","102,44","","","","","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-01 01:00","2015","12","01","01:00","-5,2","","-8,0","","81","","","","","","0","","24,1","","102,38","","","","","","Dégagé"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-01 02:00","2015","12","01","02:00","-5,2","","-7,0","","87","","","","16","","9","","24,1","","102,40","","","","-9","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-01 03:00","2015","12","01","03:00","-4,7","","-7,5","","81","","","","13","","7","","24,1","","102,36","","","","-8","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-01 04:00","2015","12","01","04:00","-5,7","","-8,6","","80","","","","8","","3","","24,1","","102,30","","","","-7","","Dégagé"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-01 05:00","2015","12","01","05:00","-6,1","","-8,7","","82","","","","7","","4","","24,1","","102,29","","","","-8","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-01 06:00","2015","12","01","06:00","-6,5","","-8,9","","83","","","","8","","7","","24,1","","102,23","","","","-10","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-01 07:00","2015","12","01","07:00","-4,7","","-7,0","","84","","","","8","","9","","24,1","","102,31","","","","-9","","Généralement nuageux"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-01 08:00","2015","12","01","08:00","-5,0","","-7,0","","86","","","","3","","14","","24,1","","102,12","","","","-10","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-01 09:00","2015","12","01","09:00","-2,4","","-6,1","","76","","","","9","","13","","24,1","","102,11","","","","-7","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-01 10:00","2015","12","01","10:00","-1,6","","-4,9","","78","","","","8","","12","","24,1","","102,08","","","","-6","","Nuageux"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-01 11:00","2015","12","01","11:00","-0,1","","-4,4","","73","","","","7","","13","","24,1","","102,01","","","","-4","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-01 12:00","2015","12","01","12:00","0,8","","-4,3","","69","","","","9","","11","","24,1","","101,86","","","","","","Pluie"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-01 13:00","2015","12","01","13:00","0,8","","-4,1","","70","","","","5","","17","","24,1","","101,70","","","","","","Nuageux"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-01 14:00","2015","12","01","14:00","1,5","","-3,2","","71","","","","7","","13","","24,1","","101,61","","","","","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-01 15:00","2015","12","01","15:00","1,1","","-3,2","","73","","","","3","","14","","24,1","","101,50","","","","","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-01 16:00","2015","12","01","16:00","0,0","","-1,8","","88","","","","3","","14","","6,4","","101,47","","","","-4","","Pluie,Brouillard"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-01 17:00","2015","12","01","17:00","0,0","","-0,9","","94","","","","5","","17","","6,4","","101,36","","","","-5","","Pluie verglaçante,Brouillard"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-01 18:00","2015","12","01","18:00","0,2","","-0,5","","95","","","","4","","14","","6,4","","101,28","","","","","","Bruine,Brouillard"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-01 19:00","2015","12","01","19:00","0,5","","-0,1","","96","","","","3","","16","","4,8","","101,21","","","","","","Bruine,Brouillard"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-01 20:00","2015","12","01","20:00","1,2","","0,8","","97","","","","4","","12","","8,1","","101,14","","","","","","Bruine,Brouillard"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-01 21:00","2015","12","01","21:00","3,6","","3,2","","97","","","","12","","14","","12,9","","101,02","","","","","","Pluie"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-01 22:00","2015","12","01","22:00","3,8","","2,9","","94","","","","13","","12","","12,9","","100,94","","","","","","Bruine"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-01 23:00","2015","12","01","23:00","3,8","","2,9","","94","","","","14","","10","","24,1","","100,90","","","","","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-02 00:00","2015","12","02","00:00","4,0","","3,0","","93","","","","11","","7","","24,1","","100,87","","","","","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-02 01:00","2015","12","02","01:00","4,0","","3,1","","94","","","","12","","6","","16,1","","100,82","","","","","","Pluie"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-02 02:00","2015","12","02","02:00","4,1","","3,2","","94","","","","9","","9","","19,3","","100,74","","","","","","Bruine"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-02 03:00","2015","12","02","03:00","2,3","","1,6","","95","","","","36","","7","","6,4","","100,73","","","","","","Bruine,Brouillard"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-02 04:00","2015","12","02","04:00","1,8","","1,4","","97","","","","1","","8","","6,4","","100,65","","","","","","Bruine,Brouillard"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-02 05:00","2015","12","02","05:00","1,7","","1,3","","97","","","","2","","8","","8,1","","100,61","","","","","","Bruine,Brouillard"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-02 06:00","2015","12","02","06:00","1,6","","1,2","","97","","","","35","","8","","8,1","","100,59","","","","","","Bruine,Brouillard"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-02 07:00","2015","12","02","07:00","1,5","","1,2","","98","","","","3","","9","","2,4","","100,55","","","","","","Bruine,Brouillard"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-02 08:00","2015","12","02","08:00","1,5","","1,2","","98","","","","2","","8","","1,2","","100,54","","","","","","Pluie,Brouillard"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-02 09:00","2015","12","02","09:00","2,0","","1,7","","98","","","","35","","4","","2,4","","100,53","","","","","","Pluie,Brouillard"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-02 10:00","2015","12","02","10:00","2,3","","2,0","","98","","","","35","","6","","1,2","","100,53","","","","","","Pluie,Brouillard"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-02 11:00","2015","12","02","11:00","2,6","","2,3","","98","","","","34","","6","","2,4","","100,44","","","","","","Pluie,Brouillard"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-02 12:00","2015","12","02","12:00","2,6","","2,3","","98","","","","32","","5","","2,0","","100,38","","","","","","Bruine,Brouillard"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-02 13:00","2015","12","02","13:00","2,8","","2,5","","98","","","","31","","5","","2,4","","100,33","","","","","","Bruine,Brouillard"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-02 14:00","2015","12","02","14:00","3,1","","2,8","","98","","","","36","","3","","4,8","","100,23","","","","","","Brouillard"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-02 15:00","2015","12","02","15:00","3,4","","3,1","","98","","","","23","","9","","9,7","","100,21","","","","","","Brouillard"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-02 16:00","2015","12","02","16:00","3,4","","3,1","","98","","","","21","","7","","6,4","","100,24","","","","","","Brouillard"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-02 17:00","2015","12","02","17:00","3,0","","2,7","","98","","","","28","","5","","12,9","","100,20","","","","","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-02 18:00","2015","12","02","18:00","3,2","","2,9","","98","","","","28","","11","","11,3","","100,21","","","","","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-02 19:00","2015","12","02","19:00","2,8","","2,4","","97","","","","31","","5","","8,1","","100,12","","","","","","Pluie,Brouillard"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-02 20:00","2015","12","02","20:00","2,8","","2,4","","97","","","","25","","6","","9,7","","100,21","","","","","","Pluie,Brouillard"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-02 21:00","2015","12","02","21:00","2,8","","2,4","","97","","","","35","","5","","11,3","","100,05","","","","","","Pluie"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-02 22:00","2015","12","02","22:00","2,7","","2,4","","98","","","","26","","7","","11,3","","100,05","","","","","","Pluie"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-02 23:00","2015","12","02","23:00","3,0","","2,7","","98","","","","30","","13","","6,4","","100,07","","","","","","Pluie,Brouillard"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-03 00:00","2015","12","03","00:00","2,9","","2,5","","97","","","","32","","11","","9,7","","100,09","","","","","","Pluie,Brouillard"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-03 01:00","2015","12","03","01:00","2,6","","2,2","","97","","","","27","","9","","12,9","","100,04","","","","","","Pluie"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-03 02:00","2015","12","03","02:00","2,5","","2,1","","97","","","","26","","6","","12,9","","100,05","","","","","","Pluie"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-03 03:00","2015","12","03","03:00","2,5","","2,1","","97","","","","26","","9","","16,1","","100,05","","","","","","Pluie"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-03 04:00","2015","12","03","04:00","2,3","","1,9","","97","","","","25","","10","","19,3","","100,05","","","","","","Nuageux"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-03 05:00","2015","12","03","05:00","2,5","","1,8","","95","","","","27","","18","","24,1","","100,07","","","","","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-03 06:00","2015","12","03","06:00","2,7","","1,5","","92","","","","28","","12","","24,1","","100,13","","","","","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-03 07:00","2015","12","03","07:00","2,6","","1,6","","93","","","","27","","14","","6,4","","100,23","","","","","","Pluie,Brouillard"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-03 08:00","2015","12","03","08:00","2,6","","1,6","","93","","","","27","","11","","24,1","","100,26","","","","","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-03 09:00","2015","12","03","09:00","2,6","","1,4","","92","","","","26","","13","","24,1","","100,29","","","","","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-03 10:00","2015","12","03","10:00","2,6","","1,4","","92","","","","27","","13","","24,1","","100,36","","","","","","Pluie"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-03 11:00","2015","12","03","11:00","2,9","","1,4","","90","","","","27","","19","","24,1","","100,40","","","","","","Pluie"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-03 12:00","2015","12","03","12:00","3,3","","1,8","","90","","","","27","","16","","24,1","","100,40","","","","","","Pluie"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-03 13:00","2015","12","03","13:00","4,7","","2,6","","86","","","","28","","17","","24,1","","100,43","","","","","","Généralement nuageux"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-03 14:00","2015","12","03","14:00","4,9","","1,8","","80","","","","27","","20","","24,1","","100,50","","","","","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-03 15:00","2015","12","03","15:00","4,7","","2,2","","84","","","","27","","17","","24,1","","100,60","","","","","","Averses de pluie"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-03 16:00","2015","12","03","16:00","4,7","","1,4","","79","","","","28","","16","","24,1","","100,72","","","","","","Averses de pluie"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-03 17:00","2015","12","03","17:00","4,1","","1,3","","82","","","","28","","14","","24,1","","100,87","","","","","","Averses de pluie"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-03 18:00","2015","12","03","18:00","3,8","","0,5","","79","","","","31","","14","","24,1","","101,00","","","","","","Averses de pluie"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-03 19:00","2015","12","03","19:00","3,5","","0,2","","79","","","","29","","16","","24,1","","101,15","","","","","","Nuageux"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-03 20:00","2015","12","03","20:00","2,9","","-0,7","","77","","","","28","","19","","24,1","","101,27","","","","","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-03 21:00","2015","12","03","21:00","2,1","","-1,2","","79","","","","28","","16","","24,1","","101,36","","","","","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-03 22:00","2015","12","03","22:00","1,0","","-1,6","","83","","","","28","","15","","24,1","","101,46","","","","","","Généralement dégagé"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-03 23:00","2015","12","03","23:00","0,6","","-2,6","","79","","","","27","","16","","24,1","","101,54","","","","","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-04 00:00","2015","12","04","00:00","-0,3","","-2,1","","88","","","","24","","13","","24,1","","101,63","","","","-4","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-04 01:00","2015","12","04","01:00","0,8","","-2,3","","80","","","","24","","19","","24,1","","101,67","","","","","","Neige"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-04 02:00","2015","12","04","02:00","0,9","","-2,5","","78","","","","26","","20","","24,1","","101,69","","","","","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-04 03:00","2015","12","04","03:00","0,8","","-2,8","","77","","","","25","","22","","24,1","","101,74","","","","","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-04 04:00","2015","12","04","04:00","1,0","","-2,6","","77","","","","26","","24","","24,1","","101,80","","","","","","Neige"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-04 05:00","2015","12","04","05:00","0,3","","-1,2","","90","","","","24","","21","","11,3","","101,87","","","","","","Neige"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-04 06:00","2015","12","04","06:00","0,5","","-0,8","","91","","","","24","","14","","24,1","","101,92","","","","","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2015-12-04 07:00","2015","12","04","07:00","0,9","","-1,2","","86","","","","23","","22","","24,1","","101,92","","","","","","Nuageux"
