"Longitude (x)","Latitude (y)","Nom de la Station","ID climatologique","Date/Heure (HNL)","Année","Mois","Jour","Heure (HNL)","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Hauteur de précip. (mm)","Hauteur de précip. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"-73,74","45,47","MONTREAL INTL A","7025251","2018-02-01 00:00","2018","02","01","00:00","-11,2","","-13,4","","84","","","","35","","10","","12,9","","100,43","","","","-17","","Neige"
"-73,74","45,47","MONTREAL INTL A","7025251","2018-02-01 01:00","2018","02","01","01:00","-11,3","","-13,6","","83","","","","1","","14","","12,9","","100,42","","","","-18","","Neige"
"-73,74","45,47","MONTREAL INTL A","7025251","2018-02-01 02:00","2018","02","01","02:00","-11,4","","-13,8","","83","","","","1","","12","","16,1","","100,46","","","","-18","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2018-02-01 03:00","2018","02","01","03:00","-11,0","","-13,4","","82","","","","1","","10","","19,3","","100,46","","","","-16","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2018-02-01 04:00","2018","02","01","04:00","-10,5","","-12,9","","83","","","","1","","11","","24,1","","100,40","","","","-16","","Nuageux"
"-73,74","45,47","MONTREAL INTL A","7025251","2018-02-01 05:00","2018","02","01","05:00","-10,2","","-12,6","","83","","","","3","","8","","17,7","","100,38","","","","-15","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2018-02-01 06:00","2018","02","01","06:00","-9,9","","-12,4","","82","","","","36","","9","","19,3","","100,37","","","","-15","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2018-02-01 07:00","2018","02","01","07:00","-9,4","","-12,0","","82","","","","35","","7","","24,1","","100,36","","","","-13","","Généralement nuageux"
"-73,74","45,47","MONTREAL INTL A","7025251","2018-02-01 08:00","2018","02","01","08:00","-8,6","","-11,2","","81","","","","35","","7","","24,1","","100,37","","","","-12","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2018-02-01 09:00","2018","02","01","09:00","-7,7","","-10,3","","82","","","","2","","10","","24,1","","100,35","","","","-13","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2018-02-01 10:00","2018","02","01","10:00","-6,7","","-9,5","","80","","","","3","","7","","24,1","","100,30","","","","-10","","Nuageux"
"-73,74","45,47","MONTREAL INTL A","7025251","2018-02-01 11:00","2018","02","01","11:00","-4,3","","-7,6","","78","","","","14","","4","","16,1","","100,25","","","","-6","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2018-02-01 12:00","2018","02","01","12:00","0,6","","-5,8","","62","","","","16","","14","","24,1","","100,14","","","","","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2018-02-01 13:00","2018","02","01","13:00","1,2","","-4,7","","65","","","","15","","18","","24,1","","100,07","","","","","","Nuageux"
"-73,74","45,47","MONTREAL INTL A","7025251","2018-02-01 14:00","2018","02","01","14:00","2,0","","-3,4","","67","","","","15","","21","","24,1","","100,01","","","","","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2018-02-01 15:00","2018","02","01","15:00","3,8","","-2,3","","64","","","","17","","18","","24,1","","99,95","","","","","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2018-02-01 16:00","2018","02","01","16:00","4,4","","-2,4","","61","","","","22","","25","","24,1","","100,00","","","","","","Généralement nuageux"
"-73,74","45,47","MONTREAL INTL A","7025251","2018-02-01 17:00","2018","02","01","17:00","4,1","","-2,3","","63","","","","21","","21","","24,1","","100,03","","","","","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2018-02-01 18:00","2018","02","01","18:00","4,3","","-2,2","","63","","","","19","","30","","24,1","","99,98","","","","","","ND"
"-73,74","45,47","MONTREAL INTL A","7025251","2018-02-01 19:00","2018","02","01","19:00","1,7","","-2,2","","75","","","","27","","50","","12,9","","100,19","","","","","","Averses de neige"
"-73,74","45,47","MONTREAL INTL A","7025251","2018-02-01 20:00","2018","02","01","20:00","-0,2","","-1,7","","89","","","","28","","12","","6,4","","100,30","","","","-4","","Neige"
"-73,74","45,47","MONTREAL INTL A","7025251","2018-02-01 21:00","2018","02","01","21:00","-0,3","","-2,1","","88","","","","28","","13","","24,1","","100,36","","","","-4","","Neige"
"-73,74","45,47","MONTREAL INTL A","7025251","2018-02-01 22:00","2018","02","01","22:00","-2,7","","-8,2","","66","","","","30","","32","","24,1","","100,59","","","","-10","","Neige"
"-73,74","45,47","MONTREAL INTL A","7025251","2018-02-01 23:00","2018","02","01","23:00","-4,4","","-9,7","","67","","","","29","","24","","24,1","","100,67","","","","-11","","Neige"
