"Longitude (x)","Latitude (y)","Nom de la Station","ID climatologique","Date/Heure (HNL)","Année","Mois","Jour","Heure (HNL)","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Hauteur de précip. (mm)","Hauteur de précip. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2016-12-01 00:00","2016","12","01","00:00","7,3","","5,6","","89","","0,8","","12","","17","","16,1","","99,76","","","","","","Pluie"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2016-12-01 01:00","2016","12","01","01:00","6,5","","5,0","","90","","0,8","","12","","26","","16,1","","99,52","","","","","","Pluie"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2016-12-01 02:00","2016","12","01","02:00","6,7","","4,7","","87","","0,5","","11","","13","","16,1","","99,43","","","","","","Pluie"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2016-12-01 03:00","2016","12","01","03:00","5,6","","4,9","","95","","3,5","","3","","15","","9,7","","99,39","","","","","","Pluie modérée,Brouillard"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2016-12-01 04:00","2016","12","01","04:00","5,1","","4,5","","96","","7,5","","","M","8","","4,8","","99,51","","","","","","Pluie modérée,Brouillard"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2016-12-01 05:00","2016","12","01","05:00","5,4","","4,8","","96","","3,0","","11","","26","","16,1","","99,22","","","","","","Pluie"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2016-12-01 06:00","2016","12","01","06:00","7,7","","6,6","","93","","0,2","","17","","26","","16,1","","99,20","","","","","","Pluie"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2016-12-01 07:00","2016","12","01","07:00","7,8","","6,6","","92","","0,2","","18","","24","","16,1","","99,21","","","","","","Pluie"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2016-12-01 08:00","2016","12","01","08:00","7,6","","6,7","","94","","1,5","","18","","15","","16,1","","99,24","","","","","","Pluie"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2016-12-01 09:00","2016","12","01","09:00","8,5","","6,5","","87","","0,0","","23","","30","","16,1","","99,24","","","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2016-12-01 10:00","2016","12","01","10:00","7,8","","6,4","","91","","0,2","","24","","24","","16,1","","99,31","","","","","","Pluie"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2016-12-01 11:00","2016","12","01","11:00","7,9","","5,9","","87","","0,2","","24","","28","","14,5","","99,29","","","","","","Pluie"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2016-12-01 12:00","2016","12","01","12:00","7,3","","4,7","","83","","0,0","","24","","37","","16,1","","99,33","","","","","","Pluie"
