"Longitude (x)","Latitude (y)","Nom de la Station","ID climatologique","Date/Heure (HNL)","Année","Mois","Jour","Heure (HNL)","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Hauteur de précip. (mm)","Hauteur de précip. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-11-01 00:00","2017","11","01","00:00","4,2","","-2,5","","62","","0,0","","27","","11","","16,1","","101,83","","","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-11-01 01:00","2017","11","01","01:00","3,5","","-1,7","","69","","0,0","","25","","5","","16,1","","101,92","","","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-11-01 02:00","2017","11","01","02:00","3,1","","-0,3","","78","","0,0","","21","","5","","16,1","","102,01","","","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-11-01 03:00","2017","11","01","03:00","3,3","","0,4","","81","","0,0","","21","","4","","16,1","","102,03","","","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-11-01 04:00","2017","11","01","04:00","1,4","","-0,3","","88","","0,0","","18","","9","","16,1","","102,07","","","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-11-01 05:00","2017","11","01","05:00","1,6","","-0,2","","88","","0,0","","17","","8","","16,1","","102,10","","","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-11-01 06:00","2017","11","01","06:00","1,2","","-0,4","","89","","0,0","","18","","9","","16,1","","102,14","","","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-11-01 07:00","2017","11","01","07:00","1,3","","-0,1","","90","","0,0","","16","","9","","16,1","","102,23","","","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-11-01 08:00","2017","11","01","08:00","2,9","","1,1","","88","","0,0","","14","","5","","16,1","","102,33","","","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-11-01 09:00","2017","11","01","09:00","4,4","","1,6","","82","","0,0","","14","","5","","16,1","","102,38","","","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-11-01 10:00","2017","11","01","10:00","5,5","","1,6","","76","","0,0","","15","","9","","16,1","","102,42","","","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-11-01 11:00","2017","11","01","11:00","6,2","","1,4","","71","","0,0","","16","","8","","16,1","","102,36","","","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-11-01 12:00","2017","11","01","12:00","6,9","","2,3","","72","","0,0","","13","","13","","16,1","","102,30","","","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-11-01 13:00","2017","11","01","13:00","8,9","","3,2","","67","","0,0","","13","","11","","16,1","","102,24","","","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-11-01 14:00","2017","11","01","14:00","8,9","","2,6","","65","","0,0","","11","","5","","16,1","","102,21","","","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-11-01 15:00","2017","11","01","15:00","9,2","","1,3","","57","","0,0","","18","","17","","16,1","","102,20","","","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-11-01 16:00","2017","11","01","16:00","8,9","","1,1","","58","","0,0","","16","","11","","16,1","","102,18","","","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-11-01 17:00","2017","11","01","17:00","7,9","","1,6","","64","","0,0","","14","","11","","16,1","","102,16","","","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-11-01 18:00","2017","11","01","18:00","7,8","","2,3","","68","","0,0","","17","","13","","16,1","","102,19","","","","","","Pluie"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-11-01 19:00","2017","11","01","19:00","7,2","","2,9","","74","","0,0","","17","","9","","11,3","","102,23","","","","","","Pluie"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-11-01 20:00","2017","11","01","20:00","6,1","","4,4","","89","","0,5","","17","","9","","9,7","","102,26","","","","","","Pluie,Brouillard"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-11-01 21:00","2017","11","01","21:00","5,6","","4,1","","90","","1,0","","13","","15","","9,7","","102,18","","","","","","Pluie,Brouillard"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-11-01 22:00","2017","11","01","22:00","5,4","","3,9","","90","","0,2","","12","","13","","11,3","","102,19","","","","","","Pluie"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-11-01 23:00","2017","11","01","23:00","5,2","","4,3","","94","","0,2","","9","","11","","11,3","","102,14","","","","","","Pluie"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-11-02 00:00","2017","11","02","00:00","5,2","","4,3","","94","","0,0","","10","","9","","8,1","","102,12","","","","","","Brouillard"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-11-02 01:00","2017","11","02","01:00","5,4","","4,5","","94","","0,2","","11","","8","","16,1","","102,05","","","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-11-02 02:00","2017","11","02","02:00","5,7","","5,0","","95","","0,0","","10","","9","","14,5","","101,99","","","","","","Pluie"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-11-02 03:00","2017","11","02","03:00","6,0","","5,4","","96","","0,0","","11","","8","","16,1","","101,93","","","","","","Pluie"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-11-02 04:00","2017","11","02","04:00","6,2","","5,8","","97","","0,5","","11","","9","","12,9","","101,83","","","","","","Pluie"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-11-02 05:00","2017","11","02","05:00","6,4","","6,1","","98","","1,5","","8","","9","","4,8","","101,77","","","","","","Pluie,Brouillard"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-11-02 06:00","2017","11","02","06:00","6,9","","6,6","","98","","1,8","","11","","11","","6,4","","101,67","","","","","","Pluie,Brouillard"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-11-02 07:00","2017","11","02","07:00","7,5","","7,2","","98","","1,8","","11","","8","","6,4","","101,63","","","","","","Pluie,Brouillard"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-11-02 08:00","2017","11","02","08:00","8,0","","7,7","","98","","1,2","","10","","9","","6,4","","101,57","","","","","","Pluie,Brouillard"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-11-02 09:00","2017","11","02","09:00","8,8","","8,7","","99","","2,0","","13","","8","","6,4","","101,51","","","","","","Pluie,Brouillard"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-11-02 10:00","2017","11","02","10:00","10,9","","10,0","","94","","0,2","","18","","18","","16,1","","101,47","","","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-11-02 11:00","2017","11","02","11:00","11,7","","10,8","","94","","0,0","","18","","18","","12,9","","101,46","","","","","","Pluie"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-11-02 12:00","2017","11","02","12:00","12,6","","11,2","","91","","0,0","","18","","18","","16,1","","101,40","","","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-11-02 13:00","2017","11","02","13:00","13,3","","11,9","","91","","0,0","","20","","15","","16,1","","101,40","","","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-11-02 14:00","2017","11","02","14:00","13,7","","12,1","","90","","0,0","","18","","17","","16,1","","101,38","","","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-11-02 15:00","2017","11","02","15:00","14,1","","12,3","","89","","0,0","","18","","17","","16,1","","101,40","","","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-11-02 16:00","2017","11","02","16:00","13,7","","12,9","","95","","2,5","","17","","17","","9,7","","101,38","","","","","","Pluie,Brouillard"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-11-02 17:00","2017","11","02","17:00","13,9","","13,0","","94","","0,5","","17","","17","","16,1","","101,33","","","","","","Pluie"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-11-02 18:00","2017","11","02","18:00","14,1","","13,0","","93","","2,5","","19","","15","","6,4","","101,33","","","","","","Pluie modérée,Brouillard"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-11-02 19:00","2017","11","02","19:00","13,9","","13,1","","95","","3,0","","18","","11","","8,1","","101,30","","","","","","Pluie,Brouillard"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-11-02 20:00","2017","11","02","20:00","14,1","","13,0","","93","","0,2","","18","","13","","12,9","","101,22","","","","","","Pluie"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-11-02 21:00","2017","11","02","21:00","14,6","","12,7","","88","","0,2","","19","","15","","16,1","","101,14","","","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-11-02 22:00","2017","11","02","22:00","14,5","","12,6","","88","","0,0","","18","","18","","16,1","","101,05","","","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-11-02 23:00","2017","11","02","23:00","14,9","","12,4","","85","","0,0","","18","","24","","16,1","","100,96","","","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-11-03 00:00","2017","11","03","00:00","15,3","","12,5","","83","","0,0","","19","","24","","16,1","","100,91","","","","","","Pluie"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-11-03 01:00","2017","11","03","01:00","15,8","","12,4","","80","","0,0","","18","","22","","16,1","","100,83","","","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-11-03 02:00","2017","11","03","02:00","16,1","","12,7","","80","","0,0","","18","","24","","16,1","","100,74","","","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-11-03 03:00","2017","11","03","03:00","14,4","","13,1","","92","","2,5","","28","","17","","6,4","","100,79","","","","","","Pluie,Brouillard"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-11-03 04:00","2017","11","03","04:00","14,2","","13,4","","95","","2,8","","22","","18","","8,1","","100,79","","","","","","Pluie,Brouillard"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-11-03 05:00","2017","11","03","05:00","13,9","","12,8","","93","","1,2","","31","","21","","6,4","","100,82","","","","","","Pluie,Brouillard"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-11-03 06:00","2017","11","03","06:00","12,4","","11,6","","95","","2,8","","21","","11","","8,1","","100,82","","","","","","Pluie,Brouillard"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-11-03 07:00","2017","11","03","07:00","12,3","","11,8","","97","","1,2","","22","","17","","16,1","","100,83","","","","","","ND"
