"Longitude (x)","Latitude (y)","Nom de la Station","ID climatologique","Date/Heure (HNL)","Année","Mois","Jour","Heure (HNL)","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Hauteur de précip. (mm)","Hauteur de précip. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2016-11-01 00:00","2016","11","01","00:00","1,4","","-2,0","","78","","0,0","","18","","8","","16,1","","102,35","","","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2016-11-01 01:00","2016","11","01","01:00","0,3","","-2,3","","83","","0,0","","","M","4","","16,1","","102,35","","","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2016-11-01 02:00","2016","11","01","02:00","-0,8","","-2,3","","89","","0,0","","13","","8","","16,1","","102,35","","","","-4","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2016-11-01 03:00","2016","11","01","03:00","-1,4","","-2,5","","92","","0,0","","","","0","","16,1","","102,35","","","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2016-11-01 04:00","2016","11","01","04:00","-1,6","","-2,4","","94","","0,0","","9","","5","","16,1","","102,36","","","","-3","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2016-11-01 05:00","2016","11","01","05:00","-2,3","","-3,5","","91","","0,0","","10","","8","","16,1","","102,29","","","","-5","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2016-11-01 06:00","2016","11","01","06:00","-2,4","","-3,5","","93","","0,0","","6","","5","","16,1","","102,32","","","","-4","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2016-11-01 07:00","2016","11","01","07:00","-1,7","","-3,4","","88","","0,0","","10","","9","","16,1","","102,33","","","","-5","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2016-11-01 08:00","2016","11","01","08:00","0,5","","-2,1","","83","","0,0","","12","","9","","16,1","","102,33","","","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2016-11-01 09:00","2016","11","01","09:00","2,5","","-1,3","","76","","0,0","","13","","15","","16,1","","102,29","","","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2016-11-01 10:00","2016","11","01","10:00","5,1","","0,4","","71","","0,0","","15","","18","","16,1","","102,18","","","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2016-11-01 11:00","2016","11","01","11:00","6,1","","0,7","","68","","0,0","","17","","18","","16,1","","102,12","","","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2016-11-01 12:00","2016","11","01","12:00","7,6","","1,6","","66","","0,0","","15","","9","","16,1","","102,00","","","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2016-11-01 13:00","2016","11","01","13:00","8,6","","1,2","","59","","0,0","","16","","24","","16,1","","101,92","","","","","","ND"
