"Longitude (x)","Latitude (y)","Nom de la Station","ID climatologique","Date/Heure (HNL)","Année","Mois","Jour","Heure (HNL)","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Hauteur de précip. (mm)","Hauteur de précip. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2015-08-01 00:00","2015","08","01","00:00","18,3","","14,3","","77","","0,0","","18","","9","","16,1","","100,18","","","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2015-08-01 01:00","2015","08","01","01:00","17,7","","15,2","","85","","0,0","","20","","9","","16,1","","100,17","","","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2015-08-01 02:00","2015","08","01","02:00","17,4","","15,2","","87","","0,0","","16","","5","","16,1","","100,14","","","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2015-08-01 03:00","2015","08","01","03:00","17,4","","15,2","","87","","0,0","","","","0","","16,1","","100,11","","","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2015-08-01 04:00","2015","08","01","04:00","19,4","","16,3","","82","","0,0","","25","","15","","16,1","","100,12","","","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2015-08-01 05:00","2015","08","01","05:00","19,6","","16,7","","83","","0,0","","25","","13","","16,1","","100,15","","","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2015-08-01 06:00","2015","08","01","06:00","18,4","","17,3","","93","","0,8","","24","","11","","16,1","","100,18","","","","","","Orages,Pluie"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2015-08-01 07:00","2015","08","01","07:00","18,9","","17,0","","88","","0,0","","26","","18","","16,1","","100,20","","","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2015-08-01 08:00","2015","08","01","08:00","20,8","","16,7","","77","","0,0","","24","","22","","16,1","","100,20","","26","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2015-08-01 09:00","2015","08","01","09:00","21,5","","16,5","","73","","0,0","","23","","28","","16,1","","100,21","","26","","","","ND"
