"Longitude (x)","Latitude (y)","Nom de la Station","ID climatologique","Date/Heure (HNL)","Année","Mois","Jour","Heure (HNL)","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Hauteur de précip. (mm)","Hauteur de précip. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-08-01 00:00","2017","08","01","00:00","19,5","","14,6","","73","","0,0","","33","","5","","16,1","","101,32","","","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-08-01 01:00","2017","08","01","01:00","17,3","","15,0","","86","","0,0","","4","","4","","16,1","","101,32","","","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-08-01 02:00","2017","08","01","02:00","15,3","","14,3","","94","","0,0","","5","","4","","16,1","","101,35","","","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-08-01 03:00","2017","08","01","03:00","14,5","","13,5","","94","","0,0","","","M","4","","16,1","","101,35","","","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-08-01 04:00","2017","08","01","04:00","13,6","","12,6","","94","","0,0","","2","","4","","16,1","","101,37","","","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-08-01 05:00","2017","08","01","05:00","12,6","","12,0","","96","","0,0","","2","","8","","16,1","","101,41","","","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-08-01 06:00","2017","08","01","06:00","16,4","","15,1","","92","","0,0","","","","0","","16,1","","101,46","","","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-08-01 07:00","2017","08","01","07:00","18,7","","15,0","","79","","0,0","","","M","4","","16,1","","101,51","","","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-08-01 08:00","2017","08","01","08:00","20,0","","13,5","","66","","0,0","","1","","11","","16,1","","101,52","","","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-08-01 09:00","2017","08","01","09:00","21,4","","13,4","","60","","0,0","","","M","5","","16,1","","101,50","","","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-08-01 10:00","2017","08","01","10:00","22,8","","13,1","","54","","0,0","","","","0","","16,1","","101,50","","26","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-08-01 11:00","2017","08","01","11:00","24,9","","13,3","","48","","0,0","","","M","8","","16,1","","101,47","","28","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-08-01 12:00","2017","08","01","12:00","25,8","","12,8","","44","","0,0","","","M","4","","16,1","","101,43","","28","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-08-01 13:00","2017","08","01","13:00","26,7","","13,4","","43","","0,0","","22","","11","","16,1","","101,39","","30","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-08-01 14:00","2017","08","01","14:00","27,0","","12,7","","41","","0,0","","27","","13","","16,1","","101,36","","30","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-08-01 15:00","2017","08","01","15:00","27,0","","12,4","","40","","0,0","","20","","8","","16,1","","101,32","","29","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-08-01 16:00","2017","08","01","16:00","27,2","","13,3","","42","","0,0","","22","","11","","16,1","","101,26","","30","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-08-01 17:00","2017","08","01","17:00","26,8","","13,7","","44","","0,0","","21","","11","","16,1","","101,23","","30","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-08-01 18:00","2017","08","01","18:00","25,9","","12,5","","43","","0,0","","21","","13","","16,1","","101,23","","28","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-08-01 19:00","2017","08","01","19:00","24,0","","12,0","","47","","0,0","","21","","11","","16,1","","101,27","","26","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-08-01 20:00","2017","08","01","20:00","22,9","","14,1","","57","","0,0","","18","","8","","16,1","","101,31","","26","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-08-01 21:00","2017","08","01","21:00","21,0","","14,7","","67","","0,0","","16","","8","","16,1","","101,32","","25","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-08-01 22:00","2017","08","01","22:00","19,8","","14,5","","71","","0,0","","18","","5","","16,1","","101,32","","","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-08-01 23:00","2017","08","01","23:00","18,0","","14,0","","77","","0,0","","18","","5","","16,1","","101,33","","","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-08-02 00:00","2017","08","02","00:00","18,0","","13,9","","77","","0,0","","18","","8","","16,1","","101,32","","","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-08-02 01:00","2017","08","02","01:00","16,8","","13,8","","82","","0,0","","12","","5","","16,1","","101,30","","","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-08-02 02:00","2017","08","02","02:00","16,0","","14,0","","88","","0,0","","14","","5","","16,1","","101,29","","","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-08-02 03:00","2017","08","02","03:00","15,6","","14,5","","93","","0,0","","13","","4","","16,1","","101,27","","","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-08-02 04:00","2017","08","02","04:00","15,4","","14,6","","95","","0,0","","15","","4","","16,1","","101,29","","","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-08-02 05:00","2017","08","02","05:00","15,1","","14,0","","93","","0,0","","13","","5","","16,1","","101,33","","","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-08-02 06:00","2017","08","02","06:00","16,9","","15,9","","94","","0,0","","13","","11","","16,1","","101,34","","","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-08-02 07:00","2017","08","02","07:00","20,1","","16,6","","80","","0,0","","18","","9","","16,1","","101,39","","25","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-08-02 08:00","2017","08","02","08:00","22,9","","17,5","","71","","0,0","","19","","9","","16,1","","101,37","","29","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-08-02 09:00","2017","08","02","09:00","24,8","","17,7","","64","","0,0","","22","","15","","16,1","","101,37","","31","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-08-02 10:00","2017","08","02","10:00","25,2","","18,3","","65","","0,0","","23","","17","","16,1","","101,36","","31","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-08-02 11:00","2017","08","02","11:00","27,5","","18,4","","57","","0,0","","22","","18","","16,1","","101,33","","34","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-08-02 12:00","2017","08","02","12:00","28,3","","18,0","","53","","0,0","","22","","13","","16,1","","101,28","","34","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2017-08-02 13:00","2017","08","02","13:00","29,0","","18,9","","54","","0,0","","22","","22","","16,1","","101,22","","36","","","","ND"
