"Longitude (x)","Latitude (y)","Nom de la Station","ID climatologique","Date/Heure (HNL)","Année","Mois","Jour","Heure (HNL)","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Hauteur de précip. (mm)","Hauteur de précip. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2015-11-01 00:00","2015","11","01","00:00","4,6","","0,3","","74","","0,0","","14","","9","","16,1","","101,18","","","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2015-11-01 01:00","2015","11","01","01:00","4,6","","0,3","","74","","0,0","","13","","8","","16,1","","101,08","","","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2015-11-01 02:00","2015","11","01","02:00","4,7","","0,8","","76","","0,0","","13","","11","","16,1","","100,97","","","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2015-11-01 03:00","2015","11","01","03:00","5,0","","1,5","","78","","0,0","","14","","13","","16,1","","100,85","","","","","","Pluie"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2015-11-01 04:00","2015","11","01","04:00","5,3","","1,6","","77","","0,0","","11","","17","","16,1","","100,61","","","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2015-11-01 05:00","2015","11","01","05:00","5,8","","1,7","","75","","0,0","","16","","8","","16,1","","100,59","","","","","","Pluie"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2015-11-01 06:00","2015","11","01","06:00","5,8","","2,8","","81","","0,0","","14","","8","","16,1","","100,45","","","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2015-11-01 07:00","2015","11","01","07:00","6,3","","3,4","","82","","0,0","","16","","15","","16,1","","100,43","","","","","","Pluie"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2015-11-01 08:00","2015","11","01","08:00","6,5","","5,1","","91","","0,2","","16","","21","","16,1","","100,30","","","","","","Pluie"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2015-11-01 09:00","2015","11","01","09:00","6,8","","6,1","","95","","0,2","","17","","24","","16,1","","100,16","","","","","","Pluie"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2015-11-01 10:00","2015","11","01","10:00","6,9","","6,8","","99","","1,2","","17","","32","","4,8","","100,04","","","","","","Pluie,Brouillard"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2015-11-01 11:00","2015","11","01","11:00","7,6","","7,3","","98","","1,2","","17","","28","","16,1","","99,99","","","","","","Pluie"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2015-11-01 12:00","2015","11","01","12:00","8,6","","8,1","","97","","0,0","","18","","21","","16,1","","99,95","","","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2015-11-01 13:00","2015","11","01","13:00","9,6","","8,6","","94","","0,0","","19","","17","","16,1","","99,92","","","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2015-11-01 14:00","2015","11","01","14:00","10,1","","9,2","","94","","0,0","","18","","17","","16,1","","99,91","","","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2015-11-01 15:00","2015","11","01","15:00","12,6","","9,1","","79","","0,5","","24","","30","","16,1","","99,87","","","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2015-11-01 16:00","2015","11","01","16:00","10,0","","7,3","","83","","2,5","","25","","46","","14,5","","99,99","","","","","","Orages,Pluie"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2015-11-01 17:00","2015","11","01","17:00","9,8","","8,9","","94","","1,2","","23","","22","","16,1","","100,11","","","","","","Pluie"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2015-11-01 18:00","2015","11","01","18:00","9,9","","9,3","","96","","0,0","","24","","21","","16,1","","100,22","","","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2015-11-01 19:00","2015","11","01","19:00","10,3","","8,7","","90","","0,0","","24","","32","","16,1","","100,30","","","","","","ND"
"-73,42","45,52","MONTREAL/ST-HUBERT","7027329","2015-11-01 20:00","2015","11","01","20:00","9,7","","8,2","","90","","0,0","","24","","34","","16,1","","100,35","","","","","","ND"
